FlowName,Category,Trigger,Actions,Connectors,SourceFile
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
,5,,,,
ArrowXL42GearsLicensesReport-A0B13F52-9DFA-F011-8406-7CED8D210053,,Recurrence,"Get_secret_APIKEY, Get_secret_UID, Get_secret_PSWD, Scope, URI, CatchError","shared_teams, shared_sharepointonline, shared_keyvault",ArrowXL42GearsLicensesReport-A0B13F52-9DFA-F011-8406-7CED8D210053.json
